Name,Ownership,Category,Year of Establishment
"Waziri Umaru Federal Polytechnic, P.M.B. 1034, Birnin Kebbi",Federal Government,Polytechnic,1976
"Yaba College of Technology, P.M.B. 2011, Yaba, Lagos State",Federal Government,Polytechnic,1947
"Federal Polytechnic Ayede, Oyo State",Federal Government,Polytechnic,2021
"Federal Polytechnic Munguno, Borno State",Federal Government,Polytechnic,2021
"Federal Polytechnic N'yak, Shendam, Plateau State",Federal Government,Polytechnic,2021
"Federal Polytechnic Ohodo, Enugu State",Federal Government,Polytechnic,2021
"Federal Polytechnic Ugep, Cross River State",Federal Government,Polytechnic,2021
"Federal Polytechnic Wannune, Benue State",Federal Government,Polytechnic,2021
"Federal Polytechnic Orogun, Delta State",Federal Government,Polytechnic,2022
"Federal Polytechnic Kabo, Kano State",Federal Government,Polytechnic,2022
"Federal Polytechnic Umunnoechi, Abia State",Federal Government,Polytechnic,2022
"Airforce Institute of Technology (AFIT), NAF Base Kaduna",Private,Polytechnic,1977
"Petroleum Training Institute EffurunP.M.B 20, Effurun. Delta State",Private,Polytechnic,1973
Nigerian Army Institute of Technology and Environmental Science (NAITES) Makurdi,Private,Polytechnic,1960
"Nigerian College of Aviation Technology (NCAT), Sokoto Road, Zaria, Kaduna State",State Government,Polytechnic,1964
"Abdu Gusau Polytechnic, P.M.B  1021, Talata Mafara, Zamfara State",State Government,Polytechnic,1992
